EID,Xvalue,Yvalue,Zvalue,time
18448,-0.3112462162971497,-5.735310077667236,-0.2561795711517334,2017-04-14 20:28:32.991
18449,-1.5394717454910278,-6.736086368560791,-0.4656722247600555,2017-04-14 20:28:33.001
18450,-3.027467966079712,-8.291120529174805,-0.22266076505184174,2017-04-14 20:28:33.011
18451,-7.914033889770508,-11.14500904083252,-1.7956513166427612,2017-04-14 20:28:33.021
18452,-16.542736053466793,-15.582661628723145,-7.995436668395996,2017-04-14 20:28:33.031
18453,-31.40953254699707,-20.92173194885254,-17.786523818969727,2017-04-14 20:28:33.041
18454,-39.226600646972656,-18.16241455078125,-12.951434135437012,2017-04-14 20:28:33.051
18455,-31.2658805847168,-6.3266777992248535,-10.153809547424316,2017-04-14 20:28:33.061
18456,-17.022773742675778,3.123236179351806,-12.563573837280273,2017-04-14 20:28:33.071
18457,-9.66539192199707,0.6943184733390808,-13.074735641479492,2017-04-14 20:28:33.081
18458,-7.643488883972168,-3.9683892726898193,-6.694188117980957,2017-04-14 20:28:33.091
18459,-4.622006416320801,-6.100425720214844,-0.1628057211637497,2017-04-14 20:28:33.102
18460,-0.44532153010368347,-7.892486095428468,3.599682331085205,2017-04-14 20:28:33.112
18461,2.8754363059997563,-10.715250015258787,7.223306655883789,2017-04-14 20:28:33.122
18462,2.82515811920166,-12.271480560302734,6.470330238342285,2017-04-14 20:28:33.132
18463,1.0977414846420288,-11.322179794311525,5.507861137390137,2017-04-14 20:28:33.142
18464,-2.553416013717652,-9.355342864990234,7.887697696685791,2017-04-14 20:28:33.153
18465,-8.637083053588867,-8.797493934631348,7.356184959411621,2017-04-14 20:28:33.162
18466,-14.293384552001953,-8.983044624328613,0.6488286852836609,2017-04-14 20:28:33.172
18467,-18.764554977416992,-10.498574256896973,-18.128894805908203,2017-04-14 20:28:33.182
18468,-14.472949028015135,-14.141352653503418,-31.136592864990234,2017-04-14 20:28:33.194
18469,-2.0470423698425293,-11.115081787109377,-1.525106430053711,2017-04-14 20:28:33.201
18470,4.373009204864502,-8.718485832214355,5.779603004455566,2017-04-14 20:28:33.211
18471,7.503427982330322,-7.353790283203125,6.247669219970702,2017-04-14 20:28:33.221
18472,6.489483833312987,-6.994660377502441,5.4671597480773935,2017-04-14 20:28:33.231
18473,4.6722846031188965,-6.636727333068848,4.4328646659851065,2017-04-14 20:28:33.241
18474,2.2912509441375732,-7.12035608291626,2.278082847595215,2017-04-14 20:28:33.251
18475,0.33997663855552673,-8.701725959777832,0.628477931022644,2017-04-14 20:28:33.261
